Date,Portfolio_Value,Daily Return %,Cumulative Return %
2026-07-01,73269.33,,0.0
2026-07-02,74443.05,1.6019253895183772,1.6019253895183772
2026-07-03,74377.99,-0.0873956668889786,1.5131297092521478
2026-07-04,74906.33,0.7103445521988272,2.234222695908361
2026-07-05,74707.56,-0.26535808121957993,1.9629359242127498
2026-07-06,75811.82,1.4781101136217112,3.4700603922541706
2026-07-07,76468.67,0.8664216213249976,4.366547367090701
2026-07-08,76617.76000000001,0.19496873686963845,4.570029506206774
2026-07-09,76382.61,-0.30691317522204553,4.249090308318637
2026-07-10,76632.33,0.32693305452642374,4.589915043579618
2026-07-11,76916.35,0.37062686205679984,4.977553363733511
2026-07-12,76130.35,-1.0218893642249038,3.9047989110859938
2026-07-13,75770.2,-0.47307020130605837,3.4132562697106517
2026-07-14,74818.31,-1.2562854525921763,2.1140905751424244
2026-07-15,75201.13,0.5116661950798074,2.636573857028579
2026-07-16,75670.06,0.6235677575589627,3.2765824390641907
2026-07-17,75835.59,0.21875230441208426,3.5025023430676816
2026-07-18,75837.08,0.001964776696539161,3.5045359361140616
2026-07-19,75852.44,0.02025394437654704,3.525499687249778
2026-07-20,77158.18,1.7214212225737047,5.3076096096415615
2026-07-21,78167.34,1.307910580576177,6.684938977877919
2026-07-22,77494.19,-0.8611652897488775,5.766205314010642
2026-07-23,77458.72,-0.04577117329699343,5.7177948808867285
2026-07-24,77406.04999999999,-0.06799750886667955,5.645909413938943
2026-07-25,78410.3,1.2973792100229975,7.01653747891513
2026-07-26,78065.09,-0.44026103713415976,6.5453853611053825
2026-07-27,77323.37,-0.9501302054477856,5.533065472278764
2026-07-28,76467.23,-1.1072202362623296,4.364582015421714
2026-07-29,76433.88,-0.043613453763124976,4.319065016699342
2026-07-30,75963.26,-0.6157217192166775,3.6767498761077766
